observation,error,time
-22.473,0.0034,2456084.60202
-22.464,0.0034,2456084.60202
-22.495,0.0049,2456087.60102
-22.508,0.0025,2456108.60089
-22.520,0.0029,2456119.55175
-22.518,0.0033,2456120.52396
-22.530,0.0034,2456121.47932
-22.644,0.0038,2456164.51279
-22.528,0.0028,2456203.43069
-22.450,0.0029,2456225.31152
-22.443,0.0022,2456252.28374
-22.478,0.0033,2456285.30035
-22.491,0.0033,2456486.54628
-22.523,0.0033,2456518.60410
-22.519,0.0033,2456519.57421
-22.564,0.0026,2456554.45145
-22.645,0.0033,2456587.31656
-22.653,0.0037,2456588.26502
-22.650,0.0033,2456589.47027
-22.664,0.0036,2456590.30747
-22.659,0.0033,2456591.36826
-22.710,0.0033,2456610.43861
-22.713,0.0034,2456612.27322
-22.688,0.0034,2456622.34149
-22.663,0.0033,2456627.34714
-22.626,0.0033,2456631.28118
-22.527,0.0033,2456654.21966
-22.515,0.0033,2456657.23978
-22.502,0.0033,2456672.23764
-22.501,0.0033,2456680.27639
-22.518,0.0029,2456706.25530
-22.685,0.0031,2456847.56213
-22.535,0.0030,2456914.52014
-22.542,0.0031,2456940.35246
-22.649,0.0047,2456999.29984
-22.709,0.0030,2457030.24753
-22.717,0.0026,2457030.25233
-22.747,0.0031,2457051.23226
-22.733,0.0031,2457055.24047
-22.699,0.0026,2457065.25250
-22.658,0.0037,2457071.25522
-22.611,0.0031,2457079.26243
-22.607,0.0030,2457081.26817
-22.600,0.0033,2457184.59605
-22.600,0.0033,2457184.59605
-22.632,0.0031,2457202.58930
-22.632,0.0031,2457202.58930
-22.774,0.0025,2457268.47744
-22.774,0.0025,2457268.47744
-22.595,0.0031,2457312.36938
-22.595,0.0031,2457312.36938
-22.636,0.0027,2457408.27443
-22.636,0.0027,2457408.27443
-22.665,0.0031,2457633.63244
-22.613,0.0032,2457759.26902
-22.856,0.0029,2457917.60276
-22.648,0.0012,2458026.44408
-22.646,0.0014,2458030.36791
-22.651,0.0013,2458031.41030
-22.654,0.0017,2458032.55436
-22.662,0.0017,2458034.40134
-22.659,0.0020,2458035.42377
-22.666,0.0012,2458042.26336
-22.666,0.0012,2458043.33932
-22.667,0.0012,2458044.37137
-22.676,0.0014,2458046.51489
-22.668,0.0015,2458047.36967
-22.683,0.0023,2458049.46098
-22.685,0.0027,2458050.43471
-22.677,0.0011,2458051.39075
-22.653,0.0013,2458059.38221
-22.652,0.0012,2458060.34133
-22.699,0.0020,2458065.38050
-22.697,0.0017,2458066.45019
-22.701,0.0016,2458067.25944
-22.699,0.0025,2458069.38927
-22.699,0.0028,2458071.50532
-22.711,0.0018,2458072.50264
-22.706,0.0011,2458073.34869
-22.778,0.0145,2458089.28338
-22.681,0.0093,2458089.29221
-22.741,0.0033,2458089.30152
-22.758,0.0031,2458095.29135
-22.843,0.0031,2458152.27003
-22.770,0.0031,2458307.58242
-22.854,0.0026,2458370.47604
-22.715,0.0023,2458396.38955
-22.695,0.0031,2458400.43309
-22.690,0.0024,2458454.28090
-22.661,0.0014,2458647.58900
-22.711,0.0017,2458650.58994
-22.700,0.0013,2458651.58518
-22.701,0.0013,2458652.58469
-22.701,0.0016,2458653.58407
-22.702,0.0013,2458654.58268
-22.703,0.0016,2458655.60510
-22.701,0.0011,2458657.55894
-22.700,0.0014,2458658.58422
-22.711,0.0016,2458659.54259
-22.703,0.0014,2458660.58977
-22.712,0.0015,2458661.60095
-22.706,0.0013,2458662.57406
-22.713,0.0017,2458664.58564
-22.731,0.0029,2458688.62165
